categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.14,achei salvacao | sobre as ondas,116,,,numero_nomes_distintos
,,,0.72,"ancora segura | o senhor, deus de israel | o senhor, deus de israel edifiquei uma casa",118,,,numero_nomes_distintos
,,,0.25,"deus, deus, deus | ha vitoria para mim | perdoa-me, senhor, segundo o seu amor",12,,,numero_nomes_distintos
,,,0.20,jesus cristo mudou meu viver | podera cantar,120,,,numero_nomes_distintos
,,,0.10,"meu barquinho | tudo, o cristo, a ti entrego",121,,,numero_nomes_distintos
,,,0.21,nesta batalha nao tereis que pelejar | seguir-te-ei,123,,,numero_nomes_distintos
,,,0.81,o ceu e a terra passarao | peregrinando por sobre os montes | peregrinando por sobre os montes brilho celeste,124,,,numero_nomes_distintos
,,,0.10,com jesus vencedor serei | pela fe eu caminho,125,,,numero_nomes_distintos
,,,0.70,deus forte como jeova | quero prosseguir | quero prosseguir nesta jornada,126,,,numero_nomes_distintos
,,,0.31,cristo e vitoria | estou a caminhar,127,,,numero_nomes_distintos
,,,0.12,"cristo e meu amigo, e meu amigo | quando a mao de deus em mim veio tocar",128,,,numero_nomes_distintos
,,,0.79,"felicidade e ter cristo | felicidade e ter cristo ao meu lado | ontem, hoje e para sempre",129,,,numero_nomes_distintos
,,,0.51,"eis-me, o salvador, aqui | poe teu sangue sobre mim | purificado com sangue estou",13,,,numero_nomes_distintos
,,,0.30,meu bom pastor e cristo | tenho grande gozo,130,,,numero_nomes_distintos
,,,0.26,ja nao estou sozinho | meu barco e pequeno,132,,,numero_nomes_distintos
,,,0.34,"eu estava so, sem o senhor | jesus ve a sua igreja",133,,,numero_nomes_distintos
,,,0.32,que seguranca tenho em jesus | vou caminhando pra jerusalem,134,,,numero_nomes_distintos
,,,0.42,"em meu coracao | flua em mim, senhor",135,,,numero_nomes_distintos
,,,0.15,nao por forca | que doce voz tem meu senhor,137,,,numero_nomes_distintos
,,,0.30,ha sempre alguem que nao provou | sou um soldado do bom salvador,138,,,numero_nomes_distintos
,,,0.28,"em teu altar, senhor | expirou | te suplico, o deus, em oracao",14,,,numero_nomes_distintos
,,,0.75,as muitas aguas | as muitas aguas nao podem | uma luz resplandecente,140,,,numero_nomes_distintos
,,,0.31,se nao fosse o amor | tenho uma candeia (candeia acesa),143,,,numero_nomes_distintos
,,,0.17,"jesus, agora eu bem sei | nova alianca",144,,,numero_nomes_distintos
,,,0.41,e o amor de deus | revelacao abre pra voce,145,,,numero_nomes_distintos
,,,0.39,a igreja que ora e vitoriosa | existe um alguem que cuida de mim,146,,,numero_nomes_distintos
,,,0.32,jesus fez a promessa | nos somos uma voz,149,,,numero_nomes_distintos
,,,0.40,"clamarei, clamarei | em caminhos de dor | jesus, vem me abencoar",15,,,numero_nomes_distintos
,,,0.39,cristo jesus e o meu bom salvador | no principio era o verbo,151,,,numero_nomes_distintos
,,,0.36,mais perto de jesus | nas batalhas sou um vencedor (armadura de deus),152,,,numero_nomes_distintos
,,,0.40,"como noe | cristo, nome mais alto",153,,,numero_nomes_distintos
,,,0.34,com o espirito de deus em minha vida | o tu que habitas entre os querubins,154,,,numero_nomes_distintos
,,,0.30,"ha um ser que vive em mim | quero estar em tua presenca, o deus",155,,,numero_nomes_distintos
,,,0.29,somos cidadaos do ceu | totalmente desejavel e o meu amado,156,,,numero_nomes_distintos
,,,0.39,cristo e a rosa mais bela | este mundo nao e meu lugar,157,,,numero_nomes_distintos
